Timestamp,Latency_https://www.google.com,Latency_https://www.office.com,Latency_https://chat.google.com,Latency_https://www.canva.com/es_es/,Latency_https://us04web.zoom.us/s,Latency_https://presencial.uagrm.edu.bo/,Latency_https://virtual.uagrm.edu.bo/,Latency_https://meet.google.com,DNS_172.21.1.7,DNS_8.8.8.8,Port_80,Port_443,Port_3389,Download_Speed,Upload_Speed
2025-04-25 11:33:29,307.03115463256836,639.3122673034668,369.45080757141113,N/A,N/A,80.11937141418457,123.13270568847656,307.3441982269287,2.8738975524902344,0.11968612670898438,True,True,False,N/A,N/A
2025-04-25 11:36:35,265.211820602417,564.5928382873535,361.2794876098633,N/A,N/A,74.30815696716309,122.80035018920898,232.71894454956055,0.28705596923828125,0.1456737518310547,True,True,False,N/A,N/A
2025-04-25 11:39:40,244.48132514953613,613.856315612793,350.64697265625,N/A,N/A,90.57378768920898,94.55299377441406,329.73742485046387,0.24652481079101562,0.2167224884033203,True,True,False,564.5654518899302,83.01915427374237
2025-04-25 11:43:04,264.16802406311035,587.2583389282227,350.2061367034912,N/A,N/A,83.51683616638184,113.90876770019531,259.6731185913086,0.24247169494628906,0.1621246337890625,True,True,False,N/A,N/A
2025-04-25 11:46:09,239.33768272399902,674.536943435669,351.0885238647461,N/A,N/A,84.10978317260742,120.17178535461426,254.1811466217041,0.247955322265625,0.14853477478027344,True,True,False,N/A,N/A
2025-04-25 11:49:14,273.25940132141113,562.739372253418,372.2383975982666,N/A,N/A,317.9771900177002,100.54898262023926,257.4472427368164,0.2262592315673828,0.1220703125,True,True,False,545.4436807028303,111.39824327274754
2025-04-25 11:52:38,256.30784034729004,2641.2951946258545,346.996545791626,N/A,N/A,75.84333419799805,410.9673500061035,237.9915714263916,4568.986415863037,4566.325902938843,True,True,False,N/A,N/A
2025-04-25 11:55:55,251.39856338500977,550.2786636352539,364.67528343200684,N/A,N/A,90.81840515136719,114.02106285095215,267.841100692749,4557.381391525269,4577.286005020142,True,True,False,N/A,N/A
2025-04-25 11:59:09,278.41758728027344,660.0995063781738,372.9062080383301,N/A,N/A,83.82534980773926,134.25707817077637,321.5773105621338,0.29206275939941406,0.17905235290527344,True,True,False,470.5736599563989,180.52413772726342
2025-04-25 12:02:48,236.12689971923828,704.5919895172119,374.09210205078125,N/A,N/A,60.50896644592285,109.55309867858887,261.4636421203613,0.2353191375732422,0.1404285430908203,True,True,False,N/A,N/A
